sample_id,target_class_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx1_sector,best_tx1_codebook,target_score,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
20,12,4.849310395434737,1.1513219200359273,1.5,4.984110098585967,13.355864301859992,1.818624149504232,27.72914061077284,4.555852749299796,5.669641313882155,1.5,7.273281714699485,51.216305356601985,1.817409393361221,24.446284195901853,37.860441054742,1,-72.27085876464844,16.625202178955078,0.0,1,-75.55371856689453,24.261056900024414,0.0,1,0,15.0,-5.0,10.0,4,0,60.0,-5.0,55.0,1,0,4,0,10.529702241542244,15.392115418798863,16.075846322153183,5.1542426316457615,5.375459609896483,10.529702241542244
21,12,8.637014216628122,1.9552577026539144,1.5,8.855565891687768,12.755685222379306,1.2667106712501286,22.736566793120385,4.42270170095067,6.31627261862766,1.5,7.710745108510427,55.0,4.570895367980962,23.938966562079585,42.244314777620694,1,-77.263427734375,29.53898811340332,0.0,1,-76.06103515625,25.720277786254883,0.0,1,0,15.0,-5.0,10.0,4,0,60.0,-5.0,55.0,1,0,4,0,11.533893962662042,15.30952885443485,19.233403001422033,5.127585534014764,6.406308428647277,11.533893962662042
22,13,5.101227772767379,0.571175028835907,1.5,5.133104879429109,6.388692960898024,4.262488371082352,27.47329045230224,6.3572963958848865,-7.537245084368898,1.5,9.860288075252877,-49.854011288787,4.743018342705154,21.803101770030505,56.242704249685026,1,-72.5267105102539,17.122194290161133,1.7763568394002505e-06,1,-78.1968994140625,32.890380859375,0.0,1,0,15.0,-5.0,10.0,5,0,-45.0,-5.0,-50.0,1,0,5,0,13.807594972513831,19.8769650968607,21.613740177926353,6.61775056725445,7.1898444052593815,13.807594972513831
23,13,5.155936981136999,0.7111542419699816,1.5,5.2047503791563345,7.853209926203889,4.602521755374979,27.352895316158055,5.743246304001894,-7.786421698643822,1.5,9.675393582565142,-53.587601924138795,3.386666182941678,21.967520783465076,61.44081185034268,1,-72.64710235595703,17.36117935180664,0.0,1,-78.03247833251953,32.27363586425781,0.0,1,0,15.0,-5.0,10.0,5,0,-45.0,-5.0,-50.0,1,0,5,0,14.198873747502272,24.079725406710253,18.58647790221664,8.004739641501404,6.194134106000868,14.198873747502272
24,14,6.608226750599391,1.4789796270675193,1.5,6.771708907256584,12.615407620794207,3.373002436364087,25.066927982223916,1.717580863633296,-1.3621213860922217,1.5,2.192135646708272,-38.41605012346016,3.055631617680261,34.86354476974118,51.03145774425437,1,-74.93307495117188,22.587989807128906,0.0,1,-65.13645935058594,7.3121771812438965,0.0,1,0,15.0,-5.0,10.0,6,0,-30.0,-5.0,-35.0,1,0,6,0,11.413640871600277,16.81603387013093,17.37419347719237,5.615888337459789,5.797752534140488,11.413640871600277
25,14,5.75857271289241,1.163050570408199,1.5,5.874848620943002,11.418342748709357,4.370931977133701,26.30095874772032,2.057314972164554,-1.5274155548432724,1.5,2.5623315889770435,-36.59135838470856,2.1711811839873043,33.508185336800594,48.00970113341792,1,-73.69904327392578,19.59638786315918,0.0,1,-66.49181365966797,8.547017097473145,0.0,1,0,15.0,-5.0,10.0,6,0,-30.0,-5.0,-35.0,1,0,6,0,12.38446798003423,18.20639533007761,18.95452123934032,6.069674433064624,6.3147935469696055,12.38446798003423
26,15,6.55339966951427,0.9959042119530241,1.5,6.628640315160834,8.640986334739885,3.4079564085902123,25.2524038180932,5.00596176206744,-2.094778020952216,1.5,5.426577938290929,-22.707196808885417,2.723040844219071,26.99037213977522,31.348183143625302,1,-74.74759674072266,22.110763549804688,0.0,1,-73.00962829589844,18.101116180419922,0.0,1,0,15.0,-5.0,10.0,7,0,-15.0,-5.0,-20.0,1,0,7,0,12.377825770119589,21.421386412028028,15.692853048549955,7.126393289964277,5.251432480155311,12.377825770119589
27,15,5.284855241676568,0.7057247629528396,1.5,5.331767283605046,7.606119642080443,3.0113521009194506,27.1434680325131,7.319400391232764,-3.0522621361015823,1.5,7.930316906319554,-22.636617654232833,2.7652425993743805,23.695082581004996,30.242737296313276,1,-72.85652923583984,17.784862518310547,0.0,1,-76.30491638183594,26.45269012451172,1.7763568394002505e-06,1,0,15.0,-5.0,10.0,7,0,-15.0,-5.0,-20.0,1,0,7,0,13.622102283221079,25.52113059067388,15.34838470089063,8.48197674013843,5.1401255430826485,13.622102283221079
28,16,2.785860779372047,1.2539125432464113,1.5,3.0550477816482857,24.232451825102547,4.129946553904724,31.9805330292574,6.839888030954212,-0.5621010851048353,1.5,6.862945862081874,-4.698002455622484,2.636048441996548,24.95068147586613,28.93045428072503,1,-68.01947021484375,10.190542221069336,0.0,1,-75.04931640625,22.89232063293457,0.0,2,0,30.0,-5.0,25.0,0,0,0.0,-5.0,-5.0,2,0,0,0,13.921057239435704,22.132013388235116,19.70177479226752,7.3608990474090605,6.560158192026644,13.921057239435704
29,16,5.989602272039067,3.0329728774802507,1.5,6.7137366535146725,26.856422743959588,4.21869640694411,25.14160776422652,8.414471495347454,-0.7571899482275645,1.5,8.448471291524385,-5.142004769706697,2.7004747301171523,23.14533123893632,31.998427513666286,1,-74.85839080810547,22.39461326599121,0.0,1,-76.85466766357422,28.18106460571289,0.0,2,0,30.0,-5.0,25.0,0,0,0.0,-5.0,-5.0,2,0,0,0,11.624579220462133,16.53639823091209,18.297914936094287,5.524950603228875,6.099628617233257,11.624579220462133
30,17,2.0405437633497723,1.0497490532168166,1.5,2.294731340456929,27.22336222426582,3.4038457462133582,34.466256527580256,3.7105431458538134,0.4632533265214337,1.5,3.739349419588371,7.116432636466195,2.451782016250791,30.224973350308456,20.106929587799627,1,-65.53374481201172,7.6543989181518555,0.0,1,-69.7750244140625,12.473126411437988,0.0,2,0,30.0,-5.0,25.0,1,0,15.0,-5.0,10.0,2,0,1,0,9.380805532315886,14.78649979009283,13.10310837730622,4.9591110847442925,4.421694447571594,9.380805532315886
31,17,2.0597114908529828,1.1408665775120697,1.5,2.3545674705210553,28.981906445588802,1.8692123025908502,34.242670032984975,7.126385396918271,1.0172602602079863,1.5,7.198623983957517,8.12383993510552,3.4043643820674108,24.535903397880578,20.858066510483283,1,-65.75733184814453,7.853991508483887,0.0,1,-75.46409606933594,24.01202392578125,0.0,2,0,30.0,-5.0,25.0,1,0,15.0,-5.0,10.0,2,0,1,0,9.046741910784718,12.164823975012514,14.666651922495381,4.12614627568231,4.9205956351024085,9.046741910784718
32,19,4.662999078486677,2.191095907432047,1.5,5.15213176088627,25.168354758208224,2.962760949680423,27.44115296254265,6.320220263959581,4.750174544938105,1.5,7.906284993114228,36.9279267642496,2.18463151755289,23.721444100809805,11.759572006041374,1,-72.55884552001953,17.18566131591797,0.0,1,-76.27855682373047,26.372529983520508,0.0,2,0,30.0,-5.0,25.0,3,0,45.0,-5.0,40.0,2,0,3,0,10.87062084153989,21.953903823421363,10.359905921110805,7.302099703206467,3.568521138333424,10.87062084153989
