sample_id,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,distance_m,azimuth_deg,elevation_deg,frequency_hz,num_paths,strongest_delay_ns,strongest_mag,strongest_power_db,total_power,total_power_db,rms_delay_spread_ns
39,[-2.],[0.],[1.5],2.5,2.0,1.5,7.88986691902975,[29.0546041  26.56505118 23.19859051],[7.2962753 3.6629878 0.       ],[6e+10],1,16.426126,0.00024839872,-72.09701,6.1701925e-08,-72.09701,0.0
40,[-2.],[0.],[1.5],3.0,-2.0,1.5,8.18535277187245,[ 30.96375653 -90.          23.19859051],[ 11.69613348 -25.78267459   0.        ],[6e+10],1,17.962976,0.00022714655,-72.87388,5.1595556e-08,-72.87388,0.0
41,[-2.],[0.],[1.5],3.0,-1.4285714285714286,1.5,7.854545025080728,[ 30.96375653 -68.19859051  23.19859051],[ 11.87710288 -22.32385666   0.        ],[6e+10],1,17.345596,0.0002352314,-72.5701,5.5333814e-08,-72.5701,0.0
42,[-2.],[0.],[1.5],3.0,-0.8571428571428572,1.5,7.638516791597058,[ 30.96375653 -36.86989765  23.19859051],[ 11.91431544 -18.34356048   0.        ],[6e+10],2,16.921497,0.00024112692,-72.35509,7.5387746e-08,-71.22699,1.1498343
43,[-2.],[0.],[1.5],3.0,-0.2857142857142858,1.5,7.547130823927024,[30.96375653 -9.46232221 23.19859051],[ 11.80371214 -13.97064766   0.        ],[6e+10],2,16.705412,0.0002442459,-72.243454,7.688893e-08,-71.141365,1.1542248
44,[-2.],[0.],[1.5],3.0,0.2857142857142856,1.5,7.58489368711902,[30.96375653  7.12501635 23.19859051],[11.55716744 -9.39954656  0.        ],[6e+10],2,16.705412,0.0002442459,-72.243454,7.688893e-08,-71.141365,1.1542248
45,[-2.],[0.],[1.5],3.0,0.8571428571428568,1.5,7.7499177085821955,[30.96375653 16.69924423 23.19859051],[11.1991491  -4.85009016  0.        ],[6e+10],2,16.921497,0.00024112692,-72.35509,7.5387746e-08,-71.22699,1.1498343
46,[-2.],[0.],[1.5],3.0,1.4285714285714284,1.5,8.034364966079352,[30.96375653 22.61986495 23.19859051],[10.76057689 -0.518505    0.        ],[6e+10],1,17.345596,0.0002352314,-72.5701,5.5333814e-08,-72.5701,0.0
47,[-2.],[0.],[1.5],3.0,2.0,1.5,8.426149773176359,[30.96375653 26.56505118 23.19859051],[10.27258885  3.45716292  0.        ],[6e+10],1,17.962976,0.00022714655,-72.87388,5.1595556e-08,-72.87388,0.0
48,[-2.],[0.],[1.5],3.5,-2.0,1.5,8.789197915623474,[ 32.47119229 -90.          23.19859051],[ 14.36330267 -24.13853879   0.        ],[6e+10],1,19.521338,0.00020901376,-73.596504,4.368675e-08,-73.596504,0.0
49,[-2.],[0.],[1.5],3.5,-1.4285714285714286,1.5,8.48197368252345,[ 32.47119229 -68.19859051  23.19859051],[ 14.55119045 -20.81110216   0.        ],[6e+10],1,18.954782,0.00021526113,-73.34069,4.633735e-08,-73.34069,0.0
50,[-2.],[0.],[1.5],3.5,-0.8571428571428572,1.5,8.282326893784754,[ 32.47119229 -36.86989765  23.19859051],[ 14.58966092 -17.05432559   0.        ],[6e+10],1,18.567476,0.00021975134,-73.16137,4.829065e-08,-73.16137,0.0
51,[-2.],[0.],[1.5],3.5,-0.2857142857142858,1.5,8.198120740356865,[32.47119229 -9.46232221 23.19859051],[ 14.47515407 -12.97972671   0.        ],[6e+10],1,18.370764,0.00022210446,-73.068855,4.933039e-08,-73.068855,0.0
52,[-2.],[0.],[1.5],3.5,0.2857142857142856,1.5,8.232898168014588,[32.47119229  7.12501635 23.19859051],[14.21812419 -8.74554526  0.        ],[6e+10],1,18.370764,0.00022210446,-73.068855,4.933039e-08,-73.068855,0.0
53,[-2.],[0.],[1.5],3.5,0.8571428571428568,1.5,8.385178858545352,[32.47119229 16.69924423 23.19859051],[13.84051722 -4.52788845  0.        ],[6e+10],1,18.567476,0.00021975134,-73.16137,4.829065e-08,-73.16137,0.0
54,[-2.],[0.],[1.5],3.5,1.4285714285714284,1.5,8.648758315975957,[32.47119229 22.61986495 23.19859051],[13.37096743 -0.48638487  0.        ],[6e+10],1,18.954782,0.00021526113,-73.34069,4.633735e-08,-73.34069,0.0
55,[-2.],[0.],[1.5],3.5,2.0,1.5,9.013878188659973,[32.47119229 26.56505118 23.19859051],[12.83958841  3.26120364  0.        ],[6e+10],1,19.521338,0.00020901376,-73.596504,4.368675e-08,-73.596504,0.0
56,[-2.],[0.],[1.5],4.0,-2.0,1.5,9.433981132056603,[ 33.69006753 -90.          23.19859051],[ 16.58067197 -22.6285186    0.        ],[6e+10],1,21.096447,0.00019340834,-74.27049,3.7406785e-08,-74.27049,0.0
57,[-2.],[0.],[1.5],4.0,-1.4285714285714286,1.5,9.14843579804878,[ 33.69006753 -68.19859051  23.19859051],[ 16.76515649 -19.43783283   0.        ],[6e+10],1,20.573313,0.00019832628,-74.0524,3.933331e-08,-74.0524,0.0
58,[-2.],[0.],[1.5],4.0,-0.8571428571428572,1.5,8.96364539545771,[ 33.69006753 -36.86989765  23.19859051],[ 16.80279837 -15.89248016   0.        ],[6e+10],1,20.217037,0.0002018213,-73.900665,4.0731837e-08,-73.900665,0.0
59,[-2.],[0.],[1.5],4.0,-0.2857142857142858,1.5,8.885898022905135,[33.69006753 -9.46232221 23.19859051],[ 16.69062597 -12.08834186   0.        ],[6e+10],1,20.036524,0.00020363952,-73.82276,4.1469054e-08,-73.82276,0.0
60,[-2.],[0.],[1.5],4.0,0.2857142857142856,1.5,8.917993734293491,[33.69006753  7.12501635 23.19859051],[16.43739312 -8.15485525  0.        ],[6e+10],1,20.036524,0.00020363952,-73.82276,4.1469054e-08,-73.82276,0.0
61,[-2.],[0.],[1.5],4.0,0.8571428571428568,1.5,9.05876506427868,[33.69006753 16.69924423 23.19859051],[16.06176025 -4.23414489  0.        ],[6e+10],1,20.217037,0.0002018213,-73.900665,4.0731837e-08,-73.900665,0.0
62,[-2.],[0.],[1.5],4.0,1.4285714285714284,1.5,9.303280088665678,[33.69006753 22.61986495 23.19859051],[15.58872908 -0.45670805  0.        ],[6e+10],1,20.573313,0.00019832628,-74.0524,3.933331e-08,-74.0524,0.0
63,[-2.],[0.],[1.5],4.0,2.0,1.5,9.643650760992955,[33.69006753 26.56505118 23.19859051],[15.04556151  3.07727785  0.        ],[6e+10],1,21.096447,0.00019340834,-74.27049,3.7406785e-08,-74.27049,0.0
