sample_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_beam_label,tx0_codebook_label,tx0_effective_angle_deg,tx1_beam_label,tx1_codebook_label,tx1_effective_angle_deg,independent_u1_beam,independent_u1_codebook,independent_u2_beam,independent_u2_codebook,u1_sinr_db,u2_sinr_db,u1_rate_bpshz,u2_rate_bpshz,sum_rate_bpshz,joint_score
10,8.320290599410276,-5.068677806325109,1.5,9.742624408390572,-31.349555890853196,4.496308104598018,21.97658494913924,6.839391855085424,-2.7568793975861405,1.5,7.3741213008902795,-21.953791037302267,3.648858953353815,24.39589732866764,9.39576485355093,1,-78.0234146118164,32.497894287109375,0.0,1,-75.6041030883789,24.59741973876953,0.0,0,0,-59.5,4,25,11.79032258064516,1,29,2,17,8.796094143944838,2.232916172119644,3.100802176380392,1.4180350538859707,4.518837230266363,-9.329186901988553
11,5.096374252756102,-4.126874880989441,1.5,6.557753182874218,-38.99940508629804,3.209305950669055,25.415002200073214,2.410927381360577,2.591710169386169,1.5,3.539707959746659,47.06962532189769,1.7222099937956465,30.770754942183075,86.06903040819573,1,-74.58499908447266,21.874309539794922,0.0,1,-69.229248046875,11.807194709777832,0.0,1,12,-39.08064516129032,7,3,46.854838709677416,1,12,7,3,24.118254884790687,27.35763520466426,8.017489243668292,9.090658274799301,17.108147518467593,17.108147518467593
12,8.73940271302227,2.4356277903632466,1.5,9.07245515357176,15.572887574472887,2.6438211286285194,22.59560687218793,6.373462475140006,-1.5428846712283266,1.5,6.5575541957904635,-13.60833802570879,1.9579568507273795,25.415265157744376,29.181225600181676,1,-77.4043960571289,30.262449264526367,0.0,1,-74.5847396850586,21.873645782470703,0.0,6,23,40.88709677419355,1,17,-36.82258064516129,5,0,3,2,15.618663278772729,19.218756216715516,5.227439569351468,6.401500332059426,11.628939901410893,11.628939901410893
13,1.7290233477294423,1.523484916113471,1.5,2.3044582935299127,41.38406889201981,2.2886532391209005,34.49872649950419,5.717847075242149,0.524377086014828,1.5,5.741841734512769,5.239871913510882,4.0052996794197115,26.569079944148957,36.14419697850893,1,-65.50127410888672,7.6868462562561035,0.0,1,-73.43092346191406,19.152721405029297,0.0,7,31,59.5,3,0,-14.5,6,24,4,10,26.031250222502802,21.068146773342995,8.650987570546892,7.009924306701967,15.660911877248859,15.660911877248859
14,2.1356234097790585,-0.5348317346089694,1.5,2.201574966414083,-14.059620017827562,4.868592941589471,34.89543360364032,1.680229854649572,-1.48559417051387,1.5,2.242802355072893,-41.48186875744897,3.6310429201540577,34.73428352780595,27.42224873962141,1,-65.10456848144531,7.343664169311523,0.0,1,-65.26571655273438,7.481184005737305,0.0,4,23,10.887096774193548,0,0,-59.5,3,1,1,7,13.263415358157605,22.578367043451834,4.472505773864966,7.508317049235261,11.980822823100226,11.667052734228186
15,5.420127397696924,0.24720833307582887,1.5,5.4257619711158505,2.6114118701528355,3.3611639291588586,27.060888716938507,8.583686187984181,-2.646727154776697,1.5,8.982473668518196,-17.13682663043712,3.7347374933581747,22.682184808269938,19.748238500589956,1,-72.9391098022461,18.098392486572266,0.0,1,-77.31781768798828,29.962305068969727,0.0,6,7,33.66129032258065,0,20,-50.46774193548387,4,5,2,27,15.733573817109946,10.87656357342754,5.264606129242308,3.7264471571165974,8.991053286358905,8.990915827008909
16,4.840054836545365,0.1775472598093434,1.5,4.8433102161880965,2.1008335145589143,1.604249112307262,28.047257830263945,5.742131641642328,5.744081141688268,1.5,8.121979066228182,45.009724538960526,4.733677569229714,23.556865892570364,42.90889102440161,1,-71.95274353027344,16.15554428100586,0.0,1,-76.44313049316406,27.09200668334961,0.0,3,9,-10.435483870967742,7,28,58.14516129032258,4,4,7,0,24.64693564001092,21.200977807541292,8.192474912161213,7.053712597174644,15.246187509335858,15.246187509335858
17,1.8053533561171504,0.9529635288524752,1.5,2.041430926523457,27.82752539575293,2.6756146036527406,35.55141014710625,6.503475931511453,-5.448550165769494,1.5,8.48421464253796,-39.95595433031603,4.2610251119801825,23.177870774103283,67.78347972606896,1,-64.44859313964844,6.809480667114258,4.440892098500626e-07,1,-76.82212829589844,28.300294876098633,0.0,5,27,27.693548387096776,1,10,-39.983870967741936,5,27,1,10,28.932776598297977,22.357670795191133,9.613103743680226,7.435416367066118,17.048520110746345,17.048520110746345
18,2.050196558335818,0.5161461235119476,1.5,2.114169517476885,14.130814265291974,3.9033976822043486,35.247307052395314,8.34158911865684,0.20829177143349872,1.5,8.344189264784273,1.4303941104429327,1.9056939307885763,23.322420336287557,12.700420154849041,1,-64.75269317626953,7.05211067199707,0.0,1,-76.67758178710938,27.833221435546875,0.0,7,12,50.91935483870968,1,7,-41.33870967741935,4,30,4,2,16.967524733538713,3.762467577953761,5.665203666377363,1.756250961279747,7.42145462765711,7.3767882253858765
19,9.490155020123375,1.3450051122750553,1.5,9.584992491286517,8.066598937223304,4.808157962830089,22.11826701795404,4.273648591033062,-2.0048612092875833,1.5,4.720544539366719,-25.13229182103362,2.777912838588453,28.27026102463721,33.19889075825692,1,-77.88172912597656,31.97209358215332,0.0,1,-71.72974395751953,15.74604320526123,0.0,6,0,30.5,1,0,-44.5,4,17,2,10,16.511822344401995,22.921926672874157,5.516964468158969,7.6218422649318205,13.138806733090789,13.138806733090789
